ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-05 10:32:01,0,1,0,0,-1.0
2,2018-05-05 10:32:05,0,1,0,0,-1.0
3,2018-05-05 10:32:06,0,1,0,0,-1.0
4,2018-05-05 10:32:07,0,1,0,0,-1.0
5,2018-05-05 10:32:08,0,1,0,0,-1.0
6,2018-05-05 10:32:10,0,1,0,0,-1.0
7,2018-05-05 10:32:11,0,1,0,0,-1.0
8,2018-05-06 19:57:16,1,0,0,0,-1.0
9,2018-05-06 20:28:28,-1,-1,-1,-1,0.0
10,2018-05-06 20:28:29,-1,-1,-1,-1,0.0
11,2018-05-06 20:29:15,-1,-1,-1,-1,0.0
12,2018-05-06 20:29:16,-1,-1,-1,-1,0.0
13,2018-05-07 20:58:37,-1,-1,-1,-1,0.0
14,2018-05-07 20:58:38,-1,-1,-1,-1,0.0
15,2018-05-08 07:59:45,1,0,0,0,-1.0
1,2018-05-08 20:25:24,1,0,0,0,-1.0
2,2018-05-08 20:25:27,1,0,0,0,-1.0
3,2018-05-08 20:50:30,-1,-1,-1,-1,0.0
4,2018-05-08 20:50:31,-1,-1,-1,-1,0.0
5,2018-05-08 20:51:07,-1,-1,-1,-1,0.0
6,2018-05-08 20:51:08,-1,-1,-1,-1,0.0
7,2018-05-08 20:51:46,-1,-1,-1,-1,0.0
8,2018-05-08 20:51:47,-1,-1,-1,-1,0.0
9,2018-05-08 20:58:51,-1,-1,-1,-1,0.168999999761581
10,2018-05-08 20:58:53,-1,-1,-1,-1,0.168999999761581
1,2018-05-09 22:54:41,-1,-1,-1,-1,0.0
2,2018-05-09 22:54:42,-1,-1,-1,-1,0.0
3,2018-05-09 22:59:12,-1,-1,-1,-1,0.0549999997019768
4,2018-05-09 22:59:13,-1,-1,-1,-1,0.0549999997019768
5,2018-05-09 22:59:17,0,1,0,0,-1.0
1,2018-05-10 17:25:10,-1,-1,-1,-1,0.0
2,2018-05-10 17:25:11,-1,-1,-1,-1,0.0
3,2018-05-10 21:01:21,-1,-1,-1,-1,0.0529999993741512
4,2018-05-10 21:01:22,-1,-1,-1,-1,0.0529999993741512
5,2018-05-10 21:04:42,-1,-1,-1,-1,0.0
6,2018-05-10 21:04:43,-1,-1,-1,-1,0.0
7,2018-05-10 21:25:21,-1,-1,-1,-1,0.0520000010728836
8,2018-05-10 21:25:22,-1,-1,-1,-1,0.0520000010728836
9,2018-05-10 21:53:43,1,0,0,0,-1.0
10,2018-05-11 00:27:23,1,0,0,0,-1.0
11,2018-05-11 00:29:25,-1,-1,-1,-1,0.0769999995827675
12,2018-05-11 00:29:26,-1,-1,-1,-1,0.0769999995827675
1,2018-05-11 19:19:41,-1,-1,-1,-1,0.0
2,2018-05-11 19:19:42,-1,-1,-1,-1,0.0
3,2018-05-11 19:21:43,-1,-1,-1,-1,0.0549999997019768
4,2018-05-11 19:21:44,-1,-1,-1,-1,0.0549999997019768
5,2018-05-11 19:21:49,1,0,0,0,-1.0
6,2018-05-11 23:59:46,0,0,1,0,-1.0
7,2018-05-11 23:59:50,0,0,1,0,-1.0
8,2018-05-12 00:41:02,0,0,1,0,-1.0
9,2018-05-12 02:42:21,-1,-1,-1,-1,0.0780000016093254
10,2018-05-12 02:42:22,-1,-1,-1,-1,0.0780000016093254
11,2018-05-12 02:42:37,0,0,1,0,-1.0
12,2018-05-12 02:42:40,0,0,1,0,-1.0
13,2018-05-12 20:16:55,0,1,0,0,-1.0
14,2018-05-12 20:17:04,0,1,0,0,-1.0
15,2018-05-12 20:17:05,0,1,0,0,-1.0
16,2018-05-12 20:18:23,-1,-1,-1,-1,0.0
17,2018-05-12 20:18:24,-1,-1,-1,-1,0.0
18,2018-05-12 20:19:15,-1,-1,-1,-1,0.0430000014603138
19,2018-05-12 20:19:16,-1,-1,-1,-1,0.0430000014603138
20,2018-05-13 10:04:02,1,0,0,0,-1.0
1,2018-05-18 22:20:45,1,0,0,0,-1.0
2,2018-05-18 22:22:04,-1,-1,-1,-1,0.0
3,2018-05-18 22:22:05,-1,-1,-1,-1,0.0
4,2018-05-18 22:23:37,-1,-1,-1,-1,0.0469999983906746
5,2018-05-18 22:23:38,-1,-1,-1,-1,0.0469999983906746
6,2018-05-18 23:50:34,1,0,0,0,-1.0
7,2018-05-18 23:52:03,-1,-1,-1,-1,0.0
8,2018-05-18 23:52:04,-1,-1,-1,-1,0.0
9,2018-05-19 00:28:56,-1,-1,-1,-1,0.0450000017881393
10,2018-05-19 00:28:57,-1,-1,-1,-1,0.0450000017881393
11,2018-05-19 01:27:44,0,0,1,0,-1.0
12,2018-05-19 01:28:45,-1,-1,-1,-1,0.0649999976158142
13,2018-05-19 01:28:45,-1,-1,-1,-1,0.0649999976158142
14,2018-05-19 01:28:46,-1,-1,-1,-1,0.0649999976158142
15,2018-05-19 01:28:46,-1,-1,-1,-1,0.0649999976158142
16,2018-05-19 18:48:24,1,0,0,0,-1.0
17,2018-05-19 18:48:29,1,0,0,0,-1.0
18,2018-05-19 18:48:29,1,0,0,0,-1.0
19,2018-05-19 19:15:14,1,0,0,0,-1.0
20,2018-05-19 19:19:21,-1,-1,-1,-1,0.0700000002980232
21,2018-05-19 19:19:22,-1,-1,-1,-1,0.0700000002980232
22,2018-05-20 00:01:25,0,0,1,0,-1.0
23,2018-05-20 00:01:28,0,0,1,0,-1.0
24,2018-05-20 01:17:31,0,0,1,0,-1.0
25,2018-05-20 01:17:37,0,0,1,0,-1.0
26,2018-05-20 02:38:15,-1,-1,-1,-1,0.0
27,2018-05-20 02:38:16,-1,-1,-1,-1,0.0
28,2018-05-20 02:39:20,-1,-1,-1,-1,0.046000000089407
29,2018-05-20 02:39:21,-1,-1,-1,-1,0.046000000089407
30,2018-05-20 04:54:02,-1,-1,-1,-1,0.046000000089407
31,2018-05-20 04:54:03,-1,-1,-1,-1,0.046000000089407
32,2018-05-24 22:43:40,0,1,0,0,-1.0
33,2018-05-25 00:21:52,-1,-1,-1,-1,0.028999999165535
34,2018-05-25 00:21:53,-1,-1,-1,-1,0.028999999165535
35,2018-05-26 00:37:07,1,0,0,0,-1.0
36,2018-05-26 00:37:15,1,0,0,0,-1.0
37,2018-05-26 02:10:26,1,0,0,0,-1.0
38,2018-05-26 02:11:11,-1,-1,-1,-1,0.0839999988675118
39,2018-05-26 02:11:12,-1,-1,-1,-1,0.0839999988675118
40,2018-05-29 18:16:47,1,0,0,0,-1.0
41,2018-05-30 19:18:02,0,0,1,0,-1.0
42,2018-05-30 19:18:34,0,0,1,0,-1.0
43,2018-05-30 19:18:35,0,0,1,0,-1.0
44,2018-05-30 19:18:36,0,0,1,0,-1.0
45,2018-05-30 20:21:21,0,0,1,0,-1.0
46,2018-05-30 20:21:25,0,0,1,0,-1.0
47,2018-05-30 20:21:26,0,0,1,0,-1.0
48,2018-05-30 20:46:29,-1,-1,-1,-1,0.125
49,2018-05-30 20:46:31,-1,-1,-1,-1,0.125
50,2018-05-30 22:39:52,0,0,1,0,-1.0
51,2018-05-30 22:39:59,0,0,1,0,-1.0
52,2018-05-31 23:19:58,0,1,0,0,-1.0
53,2018-05-31 23:20:02,0,1,0,0,-1.0
54,2018-05-31 23:20:03,0,1,0,0,-1.0
55,2018-05-31 23:20:05,0,1,0,0,-1.0
56,2018-05-31 23:20:06,0,1,0,0,-1.0
57,2018-05-31 23:20:35,0,1,0,0,-1.0
58,2018-05-31 23:20:36,0,1,0,0,-1.0
59,2018-05-31 23:20:37,0,1,0,0,-1.0
60,2018-06-01 00:37:23,1,0,0,0,-1.0
61,2018-06-01 00:37:28,1,0,0,0,-1.0
62,2018-06-01 01:38:43,-1,-1,-1,-1,0.122000001370907
63,2018-06-01 01:38:44,-1,-1,-1,-1,0.122000001370907
64,2018-06-02 22:47:16,1,0,0,0,-1.0
